00-00024558,00-00024559
ПИ000038099,ПИ000038105
00-00035031,00-00035034
00-00036282,00-00036278
ПИ000004616,ПИ000004635
ПИ000004600,ПИ000004624
00000002067,00-00002977
00-00005433,00-00005428
00-00012145,00-00012126
00-00007979,00-00007982
00-00007568,00-00007565
ПИ000077054,ПИ000077050
ПИ000068964,ПИ000068962
00-00001547,00-00001548
ПИ000091053,ПИ000062076
00000000843,00000000776
ПИ000023840,ПИ000130270
ПИ000046383,ПИ000056787
ПИ000048530,ПИ000048540
ПИ000008132,ПИ000125649
ПИ000000681,ПИ000000682
ПИ000115208,ПИ000115206
ПИ000113681,ПИ000113686
ПИ000026192,ПИ000026206
ПИ000026347,ПИ000026336
ПИ000117198,ПИ000008132
00-00026259,00-00026170
ПИ000033353,ПИ000032863
ПИ000056787,ПИ000046382
ПИ000048530,ПИ000048549
ПИ000053892,ПИ000054982
ПИ000036214,ПИ000036216
00000026990,00000026989
00000026990,ПИ000032863
00000031447,ПИ000022298
ПИ000128127,ПИ000127398
ПИ000117911,ПИ000108896
ПИ000077054,ПИ000077051
ПИ000065162,ПИ000065165
ПИ000108996,ПИ000108995
ПИ000113685,ПИ000113686
ПИ000099747,ПИ000085632
ПИ000028980,ПИ000028988
00000002065,00-00002977
ПИ000008117,ПИ000008126
ПИ000008132,ПИ000008126
С0000000940,ПИ000100240
ПИ000023867,ПИ000023904
00-00025298,00-00025182
ПИ000137673,ПИ000137362
ПИ000130156,ПИ000137362
ПИ000016823,ПИ000016514
00-00021270,00-00032028
ПИ000037798,ПИ000123471
00-00032424,00-00032425
ПИ000098755,ПИ000096954
ПИ000108886,ПИ000108893
ПИ000048794,ПИ000048792
ПИ000048794,ПИ000048797
ПИ000117680,ПИ000101999
ПИ000038102,ПИ000038097
00-00025675,00-00021260
00000000260,00000000258
ПИ000038250,00000000090
00000000248,00000000124
00000000793,ПИ000026203
ПИ000026196,ПИ000026203
ПИ000026203,ПИ000026185
00-00038971,00-00038918
ПИ000026193,ПИ000026185
ПИ000048791,ПИ000048806
00000000248,ПИ000127363
00-00037716,00000020290
00-00008297,00-00008501
ПИ000023841,ПИ000023814
ПИ000023841,ПИ000023815
00-00038645,00-00029976
00-00025675,00-00028464
ПИ000029739,ПИ000135149
ПИ000036215,ПИ000036217
00-00032192,00-00032191
ПИ000065159,ПИ000065165
ПИ000095597,ПИ000096636
00-00026867,ПИ000139487
ПИ000023919,ПИ000034946
ПИ000064753,ПИ000099124
ПИ000059251,ПИ000023905
ПИ000059251,ПИ000023841
ПИ000023840,ПИ000023818
ПИ000111701,00-00012704
00-00025713,00-00029099
00-00016689,00-00016335
ПИ000048801,ПИ000048791
00000022924,00000022480
ПИ000084195,ПИ000138436
00000000947,00000000945
ПИ000059133,ПИ000023478
ПИ000038101,ПИ000044063
00-00008501,ПИ000130114
ПИ000048793,ПИ000048798
ПИ000048793,ПИ000048791
00-00024567,00-00024568
ПИ000073999,ПИ000026192
ПИ000016517,ПИ000016512
ПИ000026207,ПИ000026191
ПИ000026207,ПИ000026192
ПИ000023825,ПИ000023478
00000017890,00000000836
ПИ000036148,ПИ000065738
ПИ000117024,ПИ000038759
ПИ000034303,ПИ000033775
00-00039214,00-00039213
00-00008000,00-00013209
ПИ000058544,ПИ000107672
ПИ000121459,ПИ000129952
ПИ000130871,ПИ000130869
ПИ000090631,ПИ000062076
00-00032398,00-00007305
ПИ000085630,ПИ000099747
ПИ000096954,ПИ000097227
ПИ000098756,ПИ000097227
ПИ000023840,ПИ000059258
00-00023561,00-00023371
ПИ000053892,ПИ000054983
ПИ000023822,ПИ000023903
00-00021337,00-00021336
ПИ000142200,ПИ000137740
ПИ000044088,ПИ000056787
ПИ000044088,ПИ000044087
00-00026347,00-00026354
ПИ000110826,ПИ000110825
ПИ000008132,ПИ000022185
ПИ000103532,ПИ000142254
00000000584,00000000289
00000000576,00000000584
00000000248,00000000584
00-00030798,00-00030800
ПИ000008132,ПИ000111657
ПИ000098068,ПИ000053892
00000026722,00000015484
00000000260,00000000291
00-00030800,00-00036754
ПИ000113705,ПИ000108898
ПИ000102000,ПИ000101999
ПИ000013652,00000002603
00000002603,ПИ000024129
00000002603,ПИ000062404
ПИ000073268,ПИ000058544
ПИ000135867,ПИ000073268
ПИ000033645,ПИ000054327
ПИ000008531,ПИ000001280
00-00034771,00-00034769
ПИ000002400,ПИ000002401
ПИ000023904,ПИ000023492
ПИ000023840,ПИ000023492
С0000002987,С0000002637
ПИ000099747,00000028773
ПИ000008132,ПИ000011764
ПИ000008118,ПИ000011764
ПИ000091445,ПИ000008123
ПИ000091445,ПИ000008129
ПИ000008118,ПИ000091445
00-00006524,00-00006523
00-00006522,00-00006524
ПИ000111701,ПИ000138674
00000000739,ПИ000059888
ПИ000038102,ПИ000038101
ПИ000044087,ПИ000056787
ПИ000038100,ПИ000038098
ПИ000073014,ПИ000008132
00-00038705,ПИ000113700
00-00023574,00-00023597
ПИ000027564,ПИ000027559
00000027386,ПИ000036640
ПИ000036640,ПИ000032883
00-00032196,00-00032194
ПИ000023417,ПИ000023723
ПИ000133785,ПИ000133783
ПИ000008129,ПИ000110861
ПИ000049213,ПИ000040133
ПИ000049213,ПИ000033826
ПИ000034303,ПИ000033774
00-00017534,00-00014123
00-00015288,00-00017534
ПИ000034303,ПИ000044043
ПИ000100396,ПИ000096954
00-00005666,ПИ000062404
00-00030521,ПИ000111701
ПИ000008118,ПИ000075470
ПИ000075470,ПИ000008129
00-00023437,00-00025675
ПИ000026205,ПИ000026192
ПИ000026191,ПИ000026205
ПИ000026196,00000000826
00-00030893,00-00026869
ПИ000023602,ПИ000023478
00-00008072,ПИ000109431
00-00007844,ПИ000133783
ПИ000119422,ПИ000119421
ПИ000022179,ПИ000111701
ПИ000023901,ПИ000023605
ПИ000137673,00-00009564
00-00039143,00-00039213
ПИ000028628,ПИ000141179
ПИ000023840,ПИ000023741
ПИ000023741,ПИ000023898
00000000842,00000000832
00000000832,00000000791
00000000794,00000000830
00000000793,00000000830
00000000248,00000000830
ПИ000059250,ПИ000023823
ПИ000059927,ПИ000023823
00-00034101,00-00030800
00-00005431,ПИ000111701
00-00005431,00-00005433
ПИ000008124,00000024238
ПИ000008129,00000024238
00000024238,ПИ000008123
ПИ000008132,00000024238
00000000248,ПИ000009047
ПИ000001272,ПИ000009047
ПИ000023924,ПИ000127740
ПИ000023837,ПИ000023895
00000000248,00000000126
ПИ000089292,00000000843
00-00007996,00-00007993
ПИ000112184,ПИ000059888
ПИ000077282,ПИ000079687
ПИ000023371,ПИ000023605
ПИ000041677,ПИ000059888
ПИ000041669,ПИ000041677
ПИ000032436,ПИ000026416
00-00024962,ПИ000103510
00-00024962,00-00038310
ПИ000027636,ПИ000027635
ПИ000035039,ПИ000053892
00-00003019,ПИ000111701
ПИ000059907,ПИ000054729
ПИ000130149,ПИ000029739
00000000793,00000002575
00000002575,00000000843
00000002567,00000002575
00000000794,00000002575
00-00002083,ПИ000084046
ПИ000084047,00-00002083
00-00032548,00-00023588
ПИ000008118,ПИ000057253
00000002567,00000000843
00000002567,00000000835
ПИ000062810,ПИ000041660
ПИ000013652,00000002601
ПИ000053892,ПИ000116598
ПИ000023382,ПИ000023865
ПИ000023388,ПИ000023929
00-00032108,ПИ000024129
00-00032461,00-00033215
ПИ000023382,ПИ000023934
00000000947,00000000944
00000000786,00000000843
00000000794,00000000786
ПИ000095088,ПИ000109434
00000026613,ПИ000032883
00000029449,00000018823
ПИ000131933,ПИ000008129
ПИ000131933,00-00008501
ПИ000077282,ПИ000081469
ПИ000099234,ПИ000096954
ПИ000016515,ПИ000016514
ПИ000078537,ПИ000081472
00000000823,00000000789
00000000823,00000000840
00000000823,ПИ000001272
ПИ000016516,ПИ000016511
00-00008501,00-00005426
00-00005426,00-00005433
00000000576,00000000425
ПИ000024360,ПИ000059888
00000000794,ПИ000026191
ПИ000026191,ПИ000026192
ПИ000028628,ПИ000028629
ПИ000027564,ПИ000027565
00000016337,00000023201
ПИ000036465,ПИ000026538
00-00027457,00-00026869
00-00009034,00-00009036
ПИ000103510,00-00038310
00-00006522,00-00006523
ПИ000036466,ПИ000087866
ПИ000036466,ПИ000036465
00000000425,00000000569
00000000260,00000000425
00000000248,00000000425
00000002513,00000000289
00000002513,ПИ000127352
ПИ000015806,ПИ000127325
ПИ000015806,ПИ000099747
ПИ000128412,ПИ000129475
ПИ000141717,ПИ000130992
ПИ000045459,ПИ000135867
ПИ000027564,ПИ000033547
ПИ000033547,ПИ000033548
ПИ000065271,ПИ000123903
00-00007827,ПИ000111582
ПИ000059250,ПИ000023824
ПИ000059927,ПИ000023824
ПИ000008132,ПИ000005890
ПИ000005890,ПИ000008125
ПИ000008124,ПИ000005890
00-00028450,ПИ000099746
00000000833,00000000835
00000000835,00000000789
00000000835,00000000791
ПИ000002402,ПИ000002401
00000026728,00000018704
00-00007845,ПИ000133783
ПИ000087866,ПИ000026542
ПИ000104150,00000000712
00000000239,00000000237
00000000239,ПИ000001272
ПИ000008132,ПИ000073461
ПИ000111701,ПИ000130065
ПИ000065155,ПИ000111701
ПИ000013652,ПИ000065155
00-00032197,ПИ000099745
00000000821,00000000827
00000000789,00000000821
00000000791,00000000821
00000000755,00000000821
00000000833,00000000821
00-00007301,ПИ000111701
ПИ000129476,ПИ000129475
00000018704,ПИ000012180
ПИ000012180,ПИ000059888
00-00025675,00-00023371
ПИ000128127,ПИ000127384
00000000794,ПИ000127384
ПИ000122946,00000003077
ПИ000013652,ПИ000122946
00000000248,00000000844
ПИ000003671,00-00034769
00-00034768,00-00034769
ПИ000120079,ПИ000099746
ПИ000137470,ПИ000137740
ПИ000111701,00-00017441
ПИ000073271,ПИ000008125
ПИ000073271,ПИ000008123
ПИ000142407,С0000002637
ПИ000111701,00-00025112
ПИ000026536,ПИ000087866
ПИ000038247,ПИ000036213
ПИ000036213,ПИ000036216
ПИ000036213,ПИ000036217
ПИ000111701,00-00027815
00-00031076,00-00008501
ПИ000111701,ПИ000130072
ПИ000023924,ПИ000023417
ПИ000122244,ПИ000121711
00-00009035,ПИ000111701
ПИ000024359,ПИ000024129
ПИ000024359,ПИ000059888
ПИ000024359,ПИ000024076
ПИ000027946,ПИ000141717
ПИ000027564,ПИ000141717
00000000833,00000000755
00000000797,00000000755
00000000237,ПИ000006734
00000018704,00000031158
00000017883,00000031158
00000016350,00-00032195
00000007750,ПИ000130182
00000007750,00000007753
ПИ000023497,ПИ000059250
ПИ000023497,ПИ000059927
ПИ000008117,ПИ000008122
ПИ000008122,ПИ000008127
ПИ000008122,ПИ000008123
ПИ000008118,ПИ000008122
ПИ000008132,ПИ000008122
ПИ000064753,00000018704
00000017883,ПИ000064753
ПИ000038247,ПИ000036217
ПИ000015974,00000000842
ПИ000015974,00000000843
ПИ000015974,00000000489
ПИ000027564,00-00014123
ПИ000027636,00-00014123
00-00034925,ПИ000038102
00-00034925,ПИ000038250
00000000794,00000000492
00000000492,00000000461
00000000492,00000000843
00000020042,00000006829
ПИ000114939,С0000001795
ПИ000129630,ПИ000144762
00000006829,ПИ000129630
ПИ000127337,ПИ000128127
ПИ000026197,ПИ000026192
ПИ000099747,ПИ000039980
ПИ000024079,ПИ000024356
ПИ000008119,ПИ000008123
ПИ000008119,ПИ000008125
ПИ000008119,ПИ000008131
ПИ000111701,00-00000571
ПИ000050238,ПИ000026556
00000016350,ПИ000099745
00000000833,00000000248
00000000833,00000000756
00000000833,00000000797
00000000833,00000000789
ПИ000002402,ПИ000111701
ПИ000008117,ПИ000008125
ПИ000008121,ПИ000008117
ПИ000008117,ПИ000008128
ПИ000024102,ПИ000024135
ПИ000036217,ПИ000036216
00000000797,00000000789
00000000797,00000000826
ПИ000126797,ПИ000121711
ПИ000045459,ПИ000058544
ПИ000027564,ПИ000048797
ПИ000127337,00000000842
ПИ000127337,00000000843
ПИ000127337,ПИ000127352
00-00008501,00-00013647
ПИ000026544,ПИ000087866
ПИ000026544,00-00013637
ПИ000014414,00000002983
ПИ000022176,00-00008501
ПИ000084195,ПИ000104463
00000000826,ПИ000047337
ПИ000093459,ПИ000094445
ПИ000093459,ПИ000103532
ПИ000008132,00-00029935
ПИ000024105,ПИ000023417
ПИ000023905,ПИ000023900
ПИ000084193,ПИ000100343
ПИ000084193,ПИ000084194
00000018471,ПИ000099742
ПИ000013652,00000018471
00000016335,00000016352
00000000789,00000000791
ПИ000008124,ПИ000008127
ПИ000008127,ПИ000008123
00000000489,00000000289
ПИ000127352,00000000289
00000000794,00000000289
ПИ000023899,ПИ000023841
ПИ000027564,ПИ000031663
ПИ000084194,ПИ000084195
ПИ000084195,ПИ000084196
ПИ000027564,ПИ000032436
00000000720,ПИ000024076
00000000720,ПИ000059888
00000000725,00000000720
ПИ000084047,00000000720
00000000720,ПИ000024129
00000000729,00000000720
ПИ000137673,ПИ000130157
ПИ000047349,ПИ000099746
ПИ000059927,ПИ000023903
ПИ000023478,ПИ000023903
00-00013646,00-00008501
00-00013646,ПИ000111701
00000000794,00000000202
ПИ000050689,ПИ000053446
ПИ000063916,ПИ000024105
ПИ000052878,ПИ000111701
00000009550,ПИ000052878
ПИ000059927,ПИ000059250
ПИ000086845,ПИ000024129
ПИ000086845,ПИ000059888
ПИ000086845,ПИ000024076
ПИ000106029,ПИ000013652
00000000639,00000000461
00-00014428,ПИ000046879
00-00014428,ПИ000049474
00000000725,ПИ000024076
00000000725,ПИ000024129
00000000729,00000000725
00000000729,ПИ000024129
00000000729,ПИ000059888
ПИ000024110,ПИ000024105
00000000756,00000000826
00000000756,00000000840
ПИ000075471,ПИ000008124
ПИ000027564,00-00015288
ПИ000026537,ПИ000036465
00000000793,00000000791
00000003062,ПИ000059888
00000003062,ПИ000084046
00000003062,00000000714
00000003062,ПИ000062404
ПИ000013652,00000003062
00-00013637,ПИ000139487
00000000826,00000000840
00-00010445,ПИ000144762
00000000248,00000000355
00000000794,00000000355
ПИ000020501,00000000355
00000000355,ПИ000014414
ПИ000121711,ПИ000059889
ПИ000059889,ПИ000059888
00000001055,ПИ000117640
ПИ000099747,ПИ000117640
ПИ000023000,00000000736
ПИ000023000,00000000735
ПИ000027200,ПИ000026556
ПИ000059250,ПИ000023478
ПИ000022184,ПИ000008125
ПИ000008132,ПИ000022184
ПИ000022184,ПИ000122474
ПИ000013652,00-00005987
00000000793,00000000489
00000000489,00000000843
ПИ000135800,ПИ000021537
00000003679,00000003801
00000003679,ПИ000099746
00000003680,00000003679
00000003796,00000003679
ПИ000024099,ПИ000024100
00-00021275,00-00025673
00-00025675,00-00025673
ПИ000076588,00-00030256
ПИ000095088,00-00009997
С0000002637,ПИ000062404
ПИ000059250,ПИ000023898
ПИ000023840,ПИ000023898
ПИ000008131,ПИ000008125
ПИ000008131,ПИ000008123
ПИ000008124,ПИ000008131
00000003047,00000003077
ПИ000024114,ПИ000024103
ПИ000024102,ПИ000024114
00-00031429,00-00031428
ПИ000024101,ПИ000024102
ПИ000024101,ПИ000024100
ПИ000111701,ПИ000012655
00000003077,ПИ000012655
ПИ000013652,ПИ000012655
00000003078,ПИ000012655
ПИ000075119,00000009550
ПИ000075119,ПИ000111701
ПИ000075052,ПИ000008130
ПИ000075052,ПИ000008129
ПИ000075052,ПИ000008123
ПИ000008118,ПИ000075052
ПИ000075052,ПИ000111701
00-00025675,00-00021276
ПИ000111701,ПИ000052877
00-00020518,ПИ000137218
ПИ000026543,ПИ000087866
ПИ000095087,ПИ000095088
00000000712,ПИ000041669
ПИ000111701,00000000712
ПИ000013652,00000000712
00000000712,ПИ000062404
00000000712,00000000709
00000000712,00000000714
00-00035717,ПИ000111701
00-00005433,00-00009032
00-00009034,00-00009032
ПИ000087866,ПИ000036465
00-00029181,00-00038697
ПИ000024102,ПИ000024103
ПИ000020501,ПИ000014414
00000000794,ПИ000014414
ПИ000041669,ПИ000084046
00000000710,ПИ000041669
ПИ000098993,00000029849
ПИ000084194,00000003796
00000003680,ПИ000084194
ПИ000084194,ПИ000018611
ПИ000046637,С0000004427
ПИ000046637,00-00020518
ПИ000055731,ПИ000059888
00-00025675,00-00021275
00-00038697,ПИ000099746
00000016337,ПИ000021068
ПИ000021068,ПИ000099746
ПИ000003671,ПИ000021068
ПИ000021068,ПИ000015841
00000003680,ПИ000099746
00000003680,00000003801
00000003680,00000003796
ПИ000098756,ПИ000111701
00000000709,ПИ000062404
00000001055,ПИ000127325
00000001055,ПИ000099747
00000000710,ПИ000111701
00000000710,00000003077
00000017883,00000000710
00000000710,ПИ000024076
ПИ000026265,ПИ000020501
00-00002598,00-00000352
00-00002598,ПИ000111701
00-00002598,ПИ000010560
00-00002598,ПИ000013652
ПИ000122947,ПИ000059888
ПИ000099742,ПИ000122947
00000003077,ПИ000122947
00000018835,ПИ000130871
00-00009034,ПИ000008132
ПИ000144575,ПИ000059888
ПИ000013652,ПИ000144575
ПИ000144575,ПИ000084047
ПИ000144575,00000003077
ПИ000144575,ПИ000062404
ПИ000144575,ПИ000111701
ПИ000024078,ПИ000024129
ПИ000024078,ПИ000024076
ПИ000024078,ПИ000059888
ПИ000023841,ПИ000023905
00000016335,ПИ000008531
ПИ000026510,ПИ000027946
ПИ000111592,ПИ000099746
ПИ000111592,00000003796
00-00005988,00000000736
00-00005988,ПИ000059888
00000009550,00-00005988
00-00033670,С0000004427
ПИ000111701,ПИ000075120
ПИ000075120,ПИ000059888
ПИ000027636,ПИ000027564
ПИ000003671,ПИ000018611
ПИ000003671,ПИ000015841
ПИ000049474,ПИ000099743
ПИ000123903,ПИ000049474
ПИ000061356,ПИ000024076
ПИ000023904,ПИ000023840
ПИ000123903,ПИ000046879
ПИ000013652,00000002053
00000002054,00000002053
ПИ000099747,00000002053
ПИ000014516,00000002053
00000003796,ПИ000084196
ПИ000084196,ПИ000099746
ПИ000015841,ПИ000099746
00-00002954,ПИ000084046
ПИ000008118,ПИ000008128
ПИ000099746,00000003801
00000003796,00000003801
ПИ000099747,00000002054
ПИ000121710,ПИ000121711
ПИ000130871,ПИ000111701
ПИ000130871,00-00020518
ПИ000130871,00000017611
ПИ000095087,ПИ000059888
ПИ000095087,00000003796
00000000794,ПИ000020501
ПИ000014516,ПИ000099747
00000017611,ПИ000059888
00-00020518,00000017611
00000006829,00000017611
00000017611,ПИ000144762
ПИ000026510,00-00013637
00-00013637,ПИ000087866
00000002530,ПИ000043308
00000000736,ПИ000043308
ПИ000059888,ПИ000043308
00000009550,ПИ000043308
ПИ000131184,ПИ000111701
ПИ000024102,ПИ000024105
ПИ000024102,ПИ000059888
00000009550,00-00005433
ПИ000008132,00-00005433
00000006829,00-00009606
00-00009606,ПИ000144762
ПИ000026556,00-00031428
00000017883,ПИ000111701
00000017883,ПИ000024129
00000017883,ПИ000042007
ПИ000013652,00000017883
ПИ000099742,00000002530
00000018704,00000002530
00000003077,00000002530
ПИ000075538,ПИ000038016
00000009550,ПИ000010560
ПИ000010560,ПИ000099745
ПИ000013652,ПИ000010560
ПИ000062404,ПИ000010560
ПИ000087866,ПИ000026556
00000018704,00000000736
00000018704,ПИ000062404
00000018704,00000000735
ПИ000013652,00000018704
00000018704,ПИ000111701
00000003796,ПИ000099745
00000003796,ПИ000062404
00000003796,ПИ000024129
ПИ000111701,00000003796
ПИ000018611,00000003796
00000003796,ПИ000099746
00000006829,ПИ000096954
ПИ000013652,ПИ000096954
00000009550,ПИ000084047
ПИ000099742,ПИ000084047
ПИ000084047,00000003077
ПИ000084047,00000003078
ПИ000084047,ПИ000111701
00000006829,ПИ000121711
ПИ000121711,ПИ000024076
ПИ000121711,ПИ000059888
00-00019836,ПИ000111701
00000016335,ПИ000099746
00000000735,ПИ000018611
00000000735,00000000714
00000000735,ПИ000084046
00000009550,00000000735
00000000735,00000003078
00000000735,ПИ000059888
ПИ000099742,00000000735
00000000735,ПИ000099743
00000000735,00000000736
00000000714,ПИ000144762
00-00008501,00000000714
00000000714,00000003078
00000000248,00000000714
ПИ000018611,00000000714
00000003077,00000000714
00000000736,00000000714
00000000714,ПИ000113074
ПИ000099742,00000000714
00000000714,ПИ000062404
00000000714,ПИ000099743
00000009550,00-00000352
00000003077,00-00000352
ПИ000111701,00-00000352
ПИ000013652,00-00000352
ПИ000008118,ПИ000111701
00-00033490,ПИ000111701
ПИ000008124,00-00008501
00-00008501,00000003078
00-00008501,ПИ000059888
00-00008501,ПИ000008123
00000009550,00-00008501
ПИ000013652,00-00008501
00000003078,ПИ000084046
ПИ000018611,ПИ000084046
ПИ000042007,ПИ000084046
ПИ000099743,ПИ000084046
00000003077,ПИ000084046
ПИ000099742,ПИ000084046
00-00020518,ПИ000135418
ПИ000013652,00000000736
00000000736,ПИ000024076
00000000736,ПИ000099746
ПИ000111701,00000000736
00000000736,00000003078
00000000736,ПИ000059888
ПИ000099742,00000000736
00000000736,ПИ000099743
00000003077,00000000736
00-00020518,00000028406
ПИ000042007,00000028406
ПИ000024105,ПИ000059888
00-00020518,ПИ000024105
00000003077,ПИ000113074
ПИ000113074,ПИ000059888
ПИ000018611,ПИ000024076
ПИ000024076,ПИ000099743
ПИ000099742,ПИ000024076
ПИ000024076,ПИ000144762
ПИ000111701,ПИ000024076
00000003078,ПИ000099746
00000003078,ПИ000059888
ПИ000018611,00000003078
ПИ000042007,00000003078
00000009550,00000003078
ПИ000111701,00000003078
ПИ000013652,00000003078
00000003078,ПИ000062404
00000009550,ПИ000099747
00000009550,00000006829
00000009550,ПИ000024129
00000009550,ПИ000144762
00000009550,ПИ000099742
00000009550,ПИ000099746
00000009550,ПИ000062404
00000009550,ПИ000111701
00000006829,ПИ000062404
00000006829,00000003077
00000006829,ПИ000059888
00000006829,ПИ000021537
00000006829,ПИ000111701
ПИ000013652,00000006829
ПИ000111701,ПИ000099743
ПИ000013652,ПИ000099743
ПИ000042007,ПИ000099743
ПИ000099743,ПИ000024129
ПИ000018611,ПИ000099743
ПИ000099742,ПИ000099743
00000003077,ПИ000099743
ПИ000099746,ПИ000099743
ПИ000013652,ПИ000099747
ПИ000099747,ПИ000099746
ПИ000013652,ПИ000144762
ПИ000144762,ПИ000059888
00000000248,ПИ000042007
ПИ000132456,ПИ000099746
ПИ000024129,ПИ000099745
ПИ000099742,ПИ000024129
ПИ000111701,ПИ000024129
ПИ000075538,ПИ000059888
ПИ000075538,ПИ000111701
ПИ000099742,ПИ000018611
ПИ000099742,ПИ000099745
ПИ000099742,ПИ000059888
ПИ000099742,00000003077
ПИ000027564,ПИ000111701
ПИ000018611,ПИ000062404
ПИ000018611,ПИ000059888
ПИ000111701,ПИ000018611
ПИ000013652,ПИ000018611
ПИ000042007,00000003077
ПИ000042007,00-00020518
ПИ000042007,ПИ000111701
ПИ000062404,ПИ000099746
ПИ000062404,ПИ000099745
ПИ000013652,ПИ000111701
00000003077,00-00020518
00000003077,ПИ000059888
00000003077,ПИ000111701
00000003077,ПИ000099746
ПИ000111701,00-00020518
ПИ000111701,ПИ000021537
ПИ000111701,ПИ000099746
